2023-06-02 13:23:23,015 - File resume_1.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,029 - File resume_10.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,042 - File resume_100.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,062 - File resume_11.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,078 - File resume_12.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,088 - File resume_13.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,124 - File resume_14.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,150 - File resume_15.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,159 - File resume_16.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,171 - File resume_17.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,204 - File resume_18.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,247 - File resume_19.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,285 - File resume_2.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,309 - File resume_20.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,337 - File resume_21.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,449 - File resume_22.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,461 - File resume_23.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,497 - File resume_24.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,510 - File resume_25.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,526 - File resume_26.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,548 - File resume_27.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,569 - File resume_28.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,610 - File resume_29.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,628 - File resume_3.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,666 - File resume_30.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,706 - File resume_31.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,738 - File resume_32.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,785 - File resume_33.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,818 - File resume_34.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,926 - File resume_35.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,949 - File resume_36.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:23,985 - File resume_37.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:24,011 - File resume_38.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:24,040 - File resume_39.pdf is in pdf format, converted to TXT, and moved to text_resumes
2023-06-02 13:23:24,086 - File resume_4.pdf is in pdf format, converted to TXT, and moved to text_resumes
